Compound,CAS,Odor,Evaporation rate
(Z)-4-hepten-1-al diethyl acetal,,Green,Moderately fast
"(Z)-5-(2,2-dimethylcyclopropyl)-3-methyl-pent-2-enal",,Floral,Moderately slow
"(Z)-5-(2,2-dimethylcyclopropyl)-3-methyl-pent-2-enal",,Sweet,Moderately slow
"(Z)-5-(2,2-dimethylcyclopropyl)-3-methyl-pent-2-enal",,Woody,Moderately slow
(Z)-5-Heptenoic acid,,Fatty,Slow
(Z)-5-Heptenoic acid,,Fruity,Slow
(Z)-5-Heptenoic acid,,Green,Slow
(Z)-5-Octen-1-yl 3-methylbutanoate,,Apple,Slow
(Z)-5-Octen-1-yl 3-methylbutanoate,,Fruity,Slow
(Z)-5-Octen-1-yl 3-methylbutanoate,,Green,Slow
"(Z)-5-[(1S,3R)-2,3-dimethyl-3-tricyclo[2.2.1.02,6]heptanyl]-2-methylpent-2-en-1-ol",,Amber,Slow
"(Z)-5-[(1S,3R)-2,3-dimethyl-3-tricyclo[2.2.1.02,6]heptanyl]-2-methylpent-2-en-1-ol",,Sandalwood,Slow
"(Z)-5-[(1S,3R)-2,3-dimethyl-3-tricyclo[2.2.1.02,6]heptanyl]-2-methylpent-2-en-1-ol",,Woody,Slow
(Z)-5-methylsulfanyl-2-(methylsulfanylmethyl)pent-2-enal,,Onion,Ultra slow
(Z)-5-methylsulfanyl-2-(methylsulfanylmethyl)pent-2-enal,,Sulfurous,Ultra slow
(Z)-5-methylsulfanyl-2-(methylsulfanylmethyl)pent-2-enal,,Sweet,Ultra slow
(Z)-6-Dodecenal,126745-61-7,Citrus,Slow
(Z)-6-Dodecenal,126745-61-7,Fatty,Slow
(Z)-6-Dodecenal,126745-61-7,Waxy,Slow
(Z)-6-Methyl-6-(5-methyl-2-furyl)-3-hepten-2-one,,Floral,Slow
(Z)-6-Methyl-6-(5-methyl-2-furyl)-3-hepten-2-one,,Fruity,Slow
(Z)-6-Methyl-6-(5-methyl-2-furyl)-3-hepten-2-one,,Green,Slow
"(Z)-8-methoxy-3,7-dimethyloct-6-enal",,Citrus,Slow
"(Z)-8-methoxy-3,7-dimethyloct-6-enal",,Floral,Slow
"(Z)-8-methoxy-3,7-dimethyloct-6-enal",,Green,Slow
(Z)-Butylidenephthalide,72917-31-8,Green,Ultra slow
(Z)-Butylidenephthalide,551-08-6,Green,Ultra slow
(Z)-Butylidenephthalide,72917-31-8,Herbal,Ultra slow
(Z)-Butylidenephthalide,551-08-6,Herbal,Ultra slow
(Z)-Butylidenephthalide,72917-31-8,Spicy,Ultra slow
(Z)-Butylidenephthalide,551-08-6,Spicy,Ultra slow
(Z)-Cinnamyl acetate,77134-01-1,Balsamic,Slow
(Z)-Cinnamyl acetate,77134-01-1,Fruity,Slow
(Z)-Cinnamyl acetate,77134-01-1,Sweet,Slow
(Z)-Ethyl 2-benzylidene-3-oxobutanoate,15802-63-8,Balsamic,Ultra slow
(Z)-Ethyl 2-benzylidene-3-oxobutanoate,15802-63-8,Fruity,Ultra slow
(Z)-Ethyl 2-benzylidene-3-oxobutanoate,15802-63-8,Sweet,Ultra slow
(Z)-Ethyl cinnamate,4610-69-9,Balsamic,Very slow
(Z)-Ethyl cinnamate,4610-69-9,Fruity,Very slow
(Z)-Ethyl cinnamate,4610-69-9,Sweet,Very slow
(Z)-Hex-2-enyl hexanoate,56922-79-3,Apple,Slow
(Z)-Hex-2-enyl hexanoate,56922-79-3,Fruity,Slow
(Z)-Hex-2-enyl hexanoate,56922-79-3,Green,Slow
(Z)-Lanceol,10067-29-5,Floral,Ultra slow
(Z)-Lanceol,10067-29-5,Floral,Ultra slow
(Z)-Lanceol,10067-29-5,Sweet,Ultra slow
(Z)-Lanceol,10067-29-5,Sweet,Ultra slow
(Z)-Lanceol,10067-29-5,Woody,Ultra slow
(Z)-Lanceol,10067-29-5,Woody,Ultra slow
(Z)-Methyl cinnamate,19713-73-6,Balsamic,Slow
(Z)-Methyl cinnamate,19713-73-6,Fruity,Slow
(Z)-Methyl cinnamate,19713-73-6,Sweet,Slow
(Z)-Non-6-enal,2277-19-2,Citrus,Moderately fast
(Z)-Non-6-enal,2277-19-2,Fatty,Moderately fast
(Z)-Non-6-enal,2277-19-2,Green,Moderately fast
(Z)-Ocimenol,39900-51-1,Green,Moderately slow
(Z)-Ocimenol,39900-51-1,Herbal,Moderately slow
(Z)-Ocimenol,39900-51-1,Sweet,Moderately slow
(Z)-Oxacyclopentadec-6-en-2-one,63958-52-1,Fruity,Ultra slow
(Z)-Oxacyclopentadec-6-en-2-one,63958-52-1,Musk,Ultra slow
(Z)-Oxacyclopentadec-6-en-2-one,63958-52-1,Sweet,Ultra slow
(Z)-Pent-2-enyl butyrate,42125-13-3,Apple,Moderately fast
(Z)-Pent-2-enyl butyrate,42125-13-3,Fruity,Moderately fast
(Z)-Pent-2-enyl butyrate,42125-13-3,Green,Moderately fast
(Z)-Phenylacetaldehyde oxime,20259-49-8,Green,Very slow
(Z)-Phenylacetaldehyde oxime,20259-49-8,Radish,Very slow
(Z)-Phenylacetaldehyde oxime,20259-49-8,Vegetable,Very slow
(Z)-Sesquilavandulol,,Floral,Ultra slow
(Z)-Sesquilavandulol,,Rose,Ultra slow
(Z)-Sesquilavandulol,,Waxy,Ultra slow
(Z)-Tagetenone,33746-71-3,Herbal,Moderately slow
(Z)-Tagetenone,33746-71-3,Herbal,Moderately slow
(Z)-Tagetenone,33746-71-3,Mint,Moderately slow
(Z)-Tagetenone,33746-71-3,Mint,Moderately slow
(Z)-Tagetenone,33746-71-3,Sweet,Moderately slow
(Z)-Tagetenone,33746-71-3,Sweet,Moderately slow
(Z)-Tetradec-5-en-14-olide,77761-59-2,Fruity,Ultra slow
(Z)-Tetradec-5-en-14-olide,77761-59-2,Musk,Ultra slow
(Z)-Tetradec-5-en-14-olide,77761-59-2,Sweet,Ultra slow
(Z)-alpha-Bisabolene,29837-07-8,Floral,Very slow
(Z)-alpha-Bisabolene,29837-07-8,Floral,Very slow
(Z)-alpha-Bisabolene,29837-07-8,Sweet,Very slow
(Z)-alpha-Bisabolene,29837-07-8,Sweet,Very slow
(Z)-alpha-Bisabolene,29837-07-8,Woody,Very slow
(Z)-alpha-Bisabolene,29837-07-8,Woody,Very slow
(Z)-alpha-Santalol,,Amber,Slow
(Z)-alpha-Santalol,,Sandalwood,Slow
(Z)-alpha-Santalol,,Woody,Slow
(Z)-alpha-ocimene,6874-44-8,Citrus,Fast
(Z)-alpha-ocimene,6874-44-8,Floral,Fast
(Z)-alpha-ocimene,6874-44-8,Herbal,Fast
(Z)-hex-3-enyl isobutyrate,57859-47-9,Apple,Moderately fast
(Z)-hex-3-enyl isobutyrate,57859-47-9,Fruity,Moderately fast
(Z)-hex-3-enyl isobutyrate,57859-47-9,Green,Moderately fast
(Z)-non-2-enal,60784-31-8,Fatty,Moderately fast
(Z)-non-2-enal,60784-31-8,Green,Moderately fast
(Z)-non-2-enal,60784-31-8,Waxy,Moderately fast
(Z)-nuciferol,,Floral,Ultra slow
(Z)-nuciferol,,Green,Ultra slow
(Z)-nuciferol,,Rose,Ultra slow
(Z)-oct-2-enoic acid,1577-96-4,Fatty,Slow
(Z)-oct-2-enoic acid,1577-96-4,Fruity,Slow
(Z)-oct-2-enoic acid,1577-96-4,Green,Slow
(Z)-p-Menth-2-en-1-ol,,Floral,Moderate
(Z)-p-Menth-2-en-1-ol,,Herbal,Moderate
(Z)-p-Menth-2-en-1-ol,,Mint,Moderate
(Z)-pent-2-en-1-yl acetate,59472-39-8,Apple,Very fast
(Z)-pent-2-en-1-yl acetate,59472-39-8,Fruity,Very fast
(Z)-pent-2-en-1-yl acetate,59472-39-8,Green,Very fast
(Z)-pent-3-en-2-one,3102-32-7,Fruity,Ultra fast
(Z)-pent-3-en-2-one,3102-32-7,Pungent,Ultra fast
(Z)-pent-3-en-2-one,3102-32-7,Sweet,Ultra fast
(Z)-tetradec-5-en-1-ol,40642-42-0,Fatty,Ultra slow
(Z)-tetradec-5-en-1-ol,40642-42-0,Fruity,Ultra slow
(Z)-tetradec-5-en-1-ol,40642-42-0,Waxy,Ultra slow
"(Z,4R)-4-ethyloct-2-enoic acid",,Dairy,Ultra slow
"(Z,4R)-4-ethyloct-2-enoic acid",,Fatty,Ultra slow
"(Z,4R)-4-ethyloct-2-enoic acid",,Waxy,Ultra slow
"(Z,E)-2,4-heptadienal",59121-26-5,Fatty,Very fast
"(Z,E)-2,4-heptadienal",59121-26-5,Fruity,Very fast
"(Z,E)-2,4-heptadienal",59121-26-5,Green,Very fast
"(Z,E)-Farnesyl butyrate",76444-28-5,Floral,Ultra slow
"(Z,E)-Farnesyl butyrate",76444-28-5,Fruity,Ultra slow
"(Z,E)-Farnesyl butyrate",76444-28-5,Rose,Ultra slow
"(Z,E)-Farnesyl propionate",76444-27-4,Floral,Ultra slow
"(Z,E)-Farnesyl propionate",76444-27-4,Rose,Ultra slow
"(Z,E)-Farnesyl propionate",76444-27-4,Sweet,Ultra slow
"(Z,E)-alpha-Farnesene",26560-14-5,Citrus,Slow
"(Z,E)-alpha-Farnesene",26560-14-5,Floral,Slow
"(Z,E)-alpha-Farnesene",26560-14-5,Woody,Slow
"(Z,Z)-2,4-decadienal",65909-91-3,Citrus,Moderately slow
"(Z,Z)-2,4-decadienal",65909-91-3,Fatty,Moderately slow
"(Z,Z)-2,4-decadienal",65909-91-3,Green,Moderately slow
"(cis)-3-(2-Hydroxy-4-(1,1-dimethyloctyl)phenyl)cyclohexanol",70434-92-3,Balsamic,Ultra slow
"(cis)-3-(2-Hydroxy-4-(1,1-dimethyloctyl)phenyl)cyclohexanol",70434-92-3,Spicy,Ultra slow
"(cis)-3-(2-Hydroxy-4-(1,1-dimethyloctyl)phenyl)cyclohexanol",70434-92-3,Sweet,Ultra slow
"(e)-1-(2,4,5-Trimethoxyphenyl)buta-1,3-diene",68305-23-7,Spicy,Ultra slow
"(e)-1-(2,4,5-Trimethoxyphenyl)buta-1,3-diene",68305-23-7,Sweet,Ultra slow
"(e)-1-(2,4,5-Trimethoxyphenyl)buta-1,3-diene",68305-23-7,Woody,Ultra slow
(e)-8-Cyclohexadecen-1-one,3100-36-5,Animal,Ultra slow
(e)-8-Cyclohexadecen-1-one,3100-36-5,Musk,Ultra slow
(e)-8-Cyclohexadecen-1-one,3100-36-5,Powdery,Ultra slow
(r)-(+)-3-Methylpentanal,,Fresh,Ultra fast
(r)-(+)-3-Methylpentanal,,Fruity,Ultra fast
(r)-(+)-3-Methylpentanal,,Green,Ultra fast
(r)-(-)-10-Methyldodecanal,,Citrus,Slow
(r)-(-)-10-Methyldodecanal,,Fatty,Slow
(r)-(-)-10-Methyldodecanal,,Waxy,Slow
(r)-4-Methylhexanal,,Aldehydic,Ultra fast
(r)-4-Methylhexanal,,Fresh,Ultra fast
(r)-4-Methylhexanal,,Green,Ultra fast
"(r)-7-Hydroxy-3,7-dimethyl-octanal",,Floral,Slow
"(r)-7-Hydroxy-3,7-dimethyl-octanal",,Green,Slow
"(r)-7-Hydroxy-3,7-dimethyl-octanal",,Sweet,Slow
(s)-1-Phenylethyl acetate,16197-93-6,Floral,Moderate
(s)-1-Phenylethyl acetate,16197-93-6,Fruity,Moderate
(s)-1-Phenylethyl acetate,16197-93-6,Sweet,Moderate
(s)-1-Phenylethyl propionate,,Floral,Moderately slow
(s)-1-Phenylethyl propionate,,Fruity,Moderately slow
(s)-1-Phenylethyl propionate,,Sweet,Moderately slow
(s)-2-Methoxy-3-(1-methylpropyl)pyrazine,,Earthy,Slow
(s)-2-Methoxy-3-(1-methylpropyl)pyrazine,,Green,Slow
(s)-2-Methoxy-3-(1-methylpropyl)pyrazine,,Nutty,Slow
(s)-2-Phenylpropanal,33530-47-1,Floral,Moderately fast
(s)-2-Phenylpropanal,33530-47-1,Fresh,Moderately fast
(s)-2-Phenylpropanal,33530-47-1,Green,Moderately fast
(z)-2-Tridecenyl acetate,,Fatty,Ultra slow
(z)-2-Tridecenyl acetate,,Fruity,Ultra slow
(z)-2-Tridecenyl acetate,,Waxy,Ultra slow
(z)-9-Nonacosene,,Fatty,Ultra slow
(z)-9-Nonacosene,,Oily,Ultra slow
(z)-9-Nonacosene,,Waxy,Ultra slow
(z)-9-Nonadecene,51865-02-2,Fatty,Ultra slow
(z)-9-Nonadecene,51865-02-2,Oily,Ultra slow
(z)-9-Nonadecene,51865-02-2,Waxy,Ultra slow
1(10)-Aristolen-2-one,28398-06-3,Amber,Ultra slow
1(10)-Aristolen-2-one,28398-06-3,Amber,Ultra slow
1(10)-Aristolen-2-one,28398-06-3,Amber,Ultra slow
1(10)-Aristolen-2-one,28398-06-3,Cedar,Ultra slow
1(10)-Aristolen-2-one,28398-06-3,Cedar,Ultra slow
1(10)-Aristolen-2-one,28398-06-3,Cedar,Ultra slow
1(10)-Aristolen-2-one,28398-06-3,Woody,Ultra slow
1(10)-Aristolen-2-one,28398-06-3,Woody,Ultra slow
1(10)-Aristolen-2-one,28398-06-3,Woody,Ultra slow
"1(3H)-Isobenzofuranone, 3-butylhexahydro-",3553-34-2,Floral,Ultra slow
"1(3H)-Isobenzofuranone, 3-butylhexahydro-",3553-34-2,Herbal,Ultra slow
"1(3H)-Isobenzofuranone, 3-butylhexahydro-",3553-34-2,Jasmin,Ultra slow
"1(3H)-Isobenzofuranone, 3-butylidene-",551-08-6,Green,Ultra slow
"1(3H)-Isobenzofuranone, 3-butylidene-",551-08-6,Herbal,Ultra slow
"1(3H)-Isobenzofuranone, 3-butylidene-",551-08-6,Spicy,Ultra slow
"1,1'-((3,7-Dimethyl-6-octen-1-ylidene)bis(oxy-2,1-ethanediyl))bis(benzene)",68140-52-3,Floral,Ultra slow
"1,1'-((3,7-Dimethyl-6-octen-1-ylidene)bis(oxy-2,1-ethanediyl))bis(benzene)",68140-52-3,Green,Ultra slow
"1,1'-((3,7-Dimethyl-6-octen-1-ylidene)bis(oxy-2,1-ethanediyl))bis(benzene)",68140-52-3,Rose,Ultra slow
"1,1'-(1,1-Dimethyl-3-methylene-1,3-propanediyl)bisbenzene",6362-80-7,Floral,Ultra slow
"1,1'-(1,1-Dimethyl-3-methylene-1,3-propanediyl)bisbenzene",6362-80-7,Green,Ultra slow
"1,1'-(1,1-Dimethyl-3-methylene-1,3-propanediyl)bisbenzene",6362-80-7,Woody,Ultra slow
"1,1'-(Ethylidenebis(oxy))bispentane",13002-08-9,Alcoholic,Moderate
"1,1'-(Ethylidenebis(oxy))bispentane",13002-08-9,Cognac,Moderate
"1,1'-(Ethylidenebis(oxy))bispentane",13002-08-9,Green,Moderate
"1,1'-(Tetrahydro-6a-hydroxy-2,3a,5-trimethylfuro[2,3-d]-1,3-dioxole-2,5-diyl)bis-ethanone",18114-49-3,Buttery,Ultra slow
"1,1'-(Tetrahydro-6a-hydroxy-2,3a,5-trimethylfuro[2,3-d]-1,3-dioxole-2,5-diyl)bis-ethanone",18114-49-3,Caramellic,Ultra slow
"1,1'-(Tetrahydro-6a-hydroxy-2,3a,5-trimethylfuro[2,3-d]-1,3-dioxole-2,5-diyl)bis-ethanone",18114-49-3,Roasted,Ultra slow
"1,1'-Biphenyl, 2-methoxy-",86-26-0,Floral,Very slow
"1,1'-Biphenyl, 2-methoxy-",86-26-0,Fruity,Very slow
"1,1'-Biphenyl, 2-methoxy-",86-26-0,Rose,Very slow
"1,1'-Oxybis-2-propanol dibenzoate",27138-31-4,Balsamic,Ultra slow
"1,1'-Oxybis-2-propanol dibenzoate",27138-31-4,Fruity,Ultra slow
"1,1'-Oxybis-2-propanol dibenzoate",27138-31-4,Odorless,Ultra slow
"1,1'-Oxydi-2-propanol",110-98-5,Alcoholic,Slow
"1,1'-Oxydi-2-propanol",110-98-5,Buttery,Slow
"1,1'-Oxydi-2-propanol",110-98-5,Odorless,Slow
"1,1,1,2-Tetrachloro-2,2-difluoroethane",76-11-9,Odorless,Ultra fast
"1,1,1,2-Tetrachloro-2,2-difluoroethane",76-11-9,Sweet,Ultra fast
"1,1,1,2-Tetrachloro-2,2-difluoroethane",76-11-9,Woody,Ultra fast
"1,1,1,3,3,3-Hexafluoropropane",690-39-1,Fishy,Ultra fast
"1,1,1,3,3,3-Hexafluoropropane",690-39-1,Odorless,Ultra fast
"1,1,1,3,3,3-Hexafluoropropane",690-39-1,Sweet,Ultra fast
"1,1,1-Trichloro-2,2,2-trifluoroethane",354-58-5,Odorless,Ultra fast
"1,1,1-Trichloro-2,2,2-trifluoroethane",354-58-5,Sweet,Ultra fast
"1,1,1-Trichloro-2,2,2-trifluoroethane",354-58-5,Woody,Ultra fast
"1,1,1-Trichloro-2-propanol",76-00-6,Odorless,Very fast
"1,1,1-Trichloro-2-propanol",76-00-6,Sweet,Very fast
"1,1,1-Trichloro-2-propanol",76-00-6,Woody,Very fast
"1,1,1-Trichloroethane",71-55-6,Floral,Ultra fast
"1,1,1-Trichloroethane",71-55-6,Sweet,Ultra fast
"1,1,1-Trichloroethane",71-55-6,Woody,Ultra fast
"1,1,2,2-Tetrabromoethane",79-27-6,Fishy,Moderate
"1,1,2,2-Tetrabromoethane",79-27-6,Odorless,Moderate
"1,1,2,2-Tetrabromoethane",79-27-6,Savory,Moderate
"1,1,2,2-Tetrachloro-1,2-difluoroethane",76-12-0,Odorless,Ultra fast
"1,1,2,2-Tetrachloro-1,2-difluoroethane",76-12-0,Sweet,Ultra fast
"1,1,2,2-Tetrachloro-1,2-difluoroethane",76-12-0,Woody,Ultra fast
"1,1,2,2-Tetrachloroethane",79-34-5,Fishy,Ultra fast
"1,1,2,2-Tetrachloroethane",79-34-5,Odorless,Ultra fast
"1,1,2,2-Tetrachloroethane",79-34-5,Woody,Ultra fast
"1,1,2,3,3-Pentamethylindan",1203-17-4,Musk,Moderate
"1,1,2,3,3-Pentamethylindan",1203-17-4,Sweet,Moderate
"1,1,2,3,3-Pentamethylindan",1203-17-4,Woody,Moderate
"1,1,2-Trichloro-3,3,3-trifluoro-1-propene",431-52-7,Odorless,Ultra fast
"1,1,2-Trichloro-3,3,3-trifluoro-1-propene",431-52-7,Sweet,Ultra fast
"1,1,2-Trichloro-3,3,3-trifluoro-1-propene",431-52-7,Woody,Ultra fast
"1,1,2-Trichloroethane",79-00-5,Cheesy,Ultra fast
"1,1,2-Trichloroethane",79-00-5,Fishy,Ultra fast
"1,1,2-Trichloroethane",79-00-5,Odorless,Ultra fast
"1,1,2-Trichlorotrifluoroethane",76-13-1,Odorless,Ultra fast
"1,1,2-Trichlorotrifluoroethane",76-13-1,Sweet,Ultra fast
"1,1,2-Trichlorotrifluoroethane",76-13-1,Woody,Ultra fast
"1,1,3-Triethoxypropane",7789-92-6,Alcoholic,Fast
"1,1,3-Triethoxypropane",7789-92-6,Ethereal,Fast
"1,1,3-Triethoxypropane",7789-92-6,Fruity,Fast
"1,1,3a,7-tetramethyl-2,3,4,5,6,7,7a,7b-octahydro-1aH-cyclopropa[a]naphthalene",,Amber,Slow
"1,1,3a,7-tetramethyl-2,3,4,5,6,7,7a,7b-octahydro-1aH-cyclopropa[a]naphthalene",,Dry,Slow
"1,1,3a,7-tetramethyl-2,3,4,5,6,7,7a,7b-octahydro-1aH-cyclopropa[a]naphthalene",,Woody,Slow
"1,1,8,8-Tetramethoxyoctane",7142-84-9,Fresh,Slow
"1,1,8,8-Tetramethoxyoctane",7142-84-9,Fruity,Slow
"1,1,8,8-Tetramethoxyoctane",7142-84-9,Green,Slow
"1,1-Bis(2-methylpropoxy)hexane",,Alcoholic,Moderately slow
"1,1-Bis(2-methylpropoxy)hexane",,Cognac,Moderately slow
"1,1-Bis(2-methylpropoxy)hexane",,Green,Moderately slow
"1,1-Bis(2-methylpropoxy)pentane",13262-27-6,Alcoholic,Moderate
"1,1-Bis(2-methylpropoxy)pentane",13262-27-6,Fermented,Moderate
"1,1-Bis(2-methylpropoxy)pentane",13262-27-6,Green,Moderate
"1,1-Bis(2-methylpropoxy)propane",13002-11-4,Alcoholic,Fast
"1,1-Bis(2-methylpropoxy)propane",13002-11-4,Ethereal,Fast
"1,1-Bis(2-methylpropoxy)propane",13002-11-4,Green,Fast
"1,1-Bis(3-methylbutoxy)hexane",93892-09-2,Alcoholic,Very slow
"1,1-Bis(3-methylbutoxy)hexane",93892-09-2,Cognac,Very slow
"1,1-Bis(3-methylbutoxy)hexane",93892-09-2,Green,Very slow
"1,1-Bis(hex-3-enoxy)hex-3-ene",,Apple,Ultra slow
"1,1-Bis(hex-3-enoxy)hex-3-ene",,Green,Ultra slow
"1,1-Bis(hex-3-enoxy)hex-3-ene",,Vegetable,Ultra slow
"1,1-Bis(hexyloxy)ethane",5405-58-3,Apple,Slow
"1,1-Bis(hexyloxy)ethane",5405-58-3,Cognac,Slow
"1,1-Bis(hexyloxy)ethane",5405-58-3,Green,Slow
"1,1-Bis(phenethyloxy)ethane",122-71-4,Floral,Ultra slow
"1,1-Bis(phenethyloxy)ethane",122-71-4,Green,Ultra slow
"1,1-Bis(phenethyloxy)ethane",122-71-4,Rose,Ultra slow
"1,1-Bis(phenylmethoxy)propan-2-ylbenzene",,Floral,Ultra slow
"1,1-Bis(phenylmethoxy)propan-2-ylbenzene",,Fruity,Ultra slow
"1,1-Bis(phenylmethoxy)propan-2-ylbenzene",,Green,Ultra slow
"1,1-Bis(tert-butylperoxy)cyclohexane",3006-86-8,Green,Moderately slow
"1,1-Bis(tert-butylperoxy)cyclohexane",3006-86-8,Mint,Moderately slow
"1,1-Bis(tert-butylperoxy)cyclohexane",3006-86-8,Woody,Moderately slow
"1,1-Di(propan-2-yloxy)heptane",,Cognac,Moderate
"1,1-Di(propan-2-yloxy)heptane",,Fruity,Moderate
"1,1-Di(propan-2-yloxy)heptane",,Green,Moderate
"1,1-Di-isobutoxy-3-methylbutane",13439-98-0,Alcoholic,Moderately fast
"1,1-Di-isobutoxy-3-methylbutane",13439-98-0,Fermented,Moderately fast
"1,1-Di-isobutoxy-3-methylbutane",13439-98-0,Green,Moderately fast
"1,1-Dibenzyloxy-2-phenylethane",65416-19-5,Green,Ultra slow
"1,1-Dibenzyloxy-2-phenylethane",65416-19-5,Rose,Ultra slow
"1,1-Dibenzyloxy-2-phenylethane",65416-19-5,Sweet,Ultra slow
"1,1-Dibutoxy-3-methylbutane",13112-69-1,Alcoholic,Moderately slow
"1,1-Dibutoxy-3-methylbutane",13112-69-1,Cognac,Moderately slow
"1,1-Dibutoxy-3-methylbutane",13112-69-1,Green,Moderately slow
"1,1-Dibutoxyheptane",92867-45-3,Cognac,Slow
"1,1-Dibutoxyheptane",92867-45-3,Green,Slow
"1,1-Dibutoxyheptane",92867-45-3,Oily,Slow
"1,1-Dibutoxyhexane",93892-07-0,Apple,Slow
"1,1-Dibutoxyhexane",93892-07-0,Cognac,Slow
"1,1-Dibutoxyhexane",93892-07-0,Green,Slow
"1,1-Dichloro-1,2,2,2-tetrafluoroethane",374-07-2,Fishy,Ultra fast
"1,1-Dichloro-1,2,2,2-tetrafluoroethane",374-07-2,Odorless,Ultra fast
"1,1-Dichloro-1,2,2,2-tetrafluoroethane",374-07-2,Sweet,Ultra fast
"1,1-Dichloro-1,2,2,3,3-pentafluoropropane",13474-88-9,Fishy,Ultra fast
"1,1-Dichloro-1,2,2,3,3-pentafluoropropane",13474-88-9,Odorless,Ultra fast
"1,1-Dichloro-1,2,2,3,3-pentafluoropropane",13474-88-9,Sweet,Ultra fast
"1,1-Dichloro-1,2,2-trifluoroethane",812-04-4,Fishy,Ultra fast
"1,1-Dichloro-1,2,2-trifluoroethane",812-04-4,Odorless,Ultra fast
"1,1-Dichloro-1,2,2-trifluoroethane",812-04-4,Sweet,Ultra fast
"1,1-Dichloro-1,2,3,3,3-pentafluoropropane",111512-56-2,Odorless,Ultra fast
"1,1-Dichloro-1,2,3,3,3-pentafluoropropane",111512-56-2,Sweet,Ultra fast
"1,1-Dichloro-1,2,3,3,3-pentafluoropropane",111512-56-2,Woody,Ultra fast
"1,1-Dichloro-1-fluoroethane",1717-00-6,Floral,Ultra fast
"1,1-Dichloro-1-fluoroethane",1717-00-6,Odorless,Ultra fast
"1,1-Dichloro-1-fluoroethane",1717-00-6,Sweet,Ultra fast
"1,1-Dichloro-1-nitroethane",594-72-9,Creamy,
"1,1-Dichloro-1-nitroethane",594-72-9,Odorless,
"1,1-Dichloro-1-nitroethane",594-72-9,Sweet,
"1,1-Dichloroethane",75-34-3,Cheesy,Ultra fast
"1,1-Dichloroethane",75-34-3,Fishy,Ultra fast
"1,1-Dichloroethane",75-34-3,Fruity,Ultra fast
"1,1-Dichloroethylene",75-35-4,Green,Ultra fast
"1,1-Dichloroethylene",75-35-4,Odorless,Ultra fast
"1,1-Dichloroethylene",75-35-4,Pungent,Ultra fast
"1,1-Dichloropropane",78-99-9,Cheesy,Ultra fast
"1,1-Dichloropropane",78-99-9,Fruity,Ultra fast
"1,1-Dichloropropane",78-99-9,Green,Ultra fast
"1,1-Diethoxy-2,6-nonadiene, (2E,6Z)-",67674-36-6,Fatty,Slow
"1,1-Diethoxy-2,6-nonadiene, (2E,6Z)-",67674-36-6,Green,Slow
"1,1-Diethoxy-2,6-nonadiene, (2E,6Z)-",67674-36-6,Melon,Slow
"1,1-Diethoxy-2-methylbutane",3658-94-4,Ethereal,Very fast
"1,1-Diethoxy-2-methylbutane",3658-94-4,Fruity,Very fast
"1,1-Diethoxy-2-methylbutane",3658-94-4,Green,Very fast
"1,1-Diethoxy-2-methylpropane",1741-41-9,Alcoholic,Ultra fast
"1,1-Diethoxy-2-methylpropane",1741-41-9,Ethereal,Ultra fast
"1,1-Diethoxy-2-methylpropane",1741-41-9,Green,Ultra fast
"1,1-Diethoxy-3,7-dimethyloct-6-ene",71662-17-4,Citrus,Slow
"1,1-Diethoxy-3,7-dimethyloct-6-ene",71662-17-4,Floral,Slow
"1,1-Diethoxy-3,7-dimethyloct-6-ene",71662-17-4,Green,Slow
"1,1-Diethoxybutan-2-one",6136-92-1,Buttery,Fast
"1,1-Diethoxybutan-2-one",6136-92-1,Ethereal,Fast
"1,1-Diethoxybutan-2-one",6136-92-1,Fruity,Fast
"1,1-Diethoxybutane",3658-95-5,Ethereal,Ultra fast
"1,1-Diethoxybutane",3658-95-5,Fruity,Ultra fast
"1,1-Diethoxybutane",3658-95-5,Green,Ultra fast
"1,1-Diethoxydecane",34764-02-8,Citrus,Slow
"1,1-Diethoxydecane",34764-02-8,Fruity,Slow
"1,1-Diethoxydecane",34764-02-8,Green,Slow
"1,1-Diethoxydodecane",53405-98-4,Citrus,Ultra slow
"1,1-Diethoxydodecane",53405-98-4,Fresh,Ultra slow
"1,1-Diethoxydodecane",53405-98-4,Fruity,Ultra slow
"1,1-Diethoxyhex-2-ene",54306-00-2,Apple,Fast
"1,1-Diethoxyhex-2-ene",54306-00-2,Fruity,Fast
"1,1-Diethoxyhex-2-ene",54306-00-2,Green,Fast
"1,1-Diethoxynona-2,6-diene",,Fatty,Moderately slow
"1,1-Diethoxynona-2,6-diene",,Green,Moderately slow
"1,1-Diethoxynona-2,6-diene",,Melon,Moderately slow
"1,1-Diethoxyoctane",54889-48-4,Citrus,Moderate
"1,1-Diethoxyoctane",54889-48-4,Floral,Moderate
"1,1-Diethoxyoctane",54889-48-4,Green,Moderate
"1,1-Diethoxypentane",3658-79-5,Cognac,Very fast
"1,1-Diethoxypentane",3658-79-5,Ethereal,Very fast
"1,1-Diethoxypentane",3658-79-5,Green,Very fast
"1,1-Diethoxytridecane",72934-16-8,Citrus,Ultra slow
"1,1-Diethoxytridecane",72934-16-8,Fatty,Ultra slow
"1,1-Diethoxytridecane",72934-16-8,Fruity,Ultra slow
"1,1-Diethoxyundec-2-ene",,Citrus,Very slow
"1,1-Diethoxyundec-2-ene",,Fatty,Very slow
