compound_name,pubchem_id,isomeric_smiles,source,flavor
4-isopropylbenzyl alcohol,325,CC(C)C1=CC=C(C=C1)CO,flavorDB,wood
4-isopropylbenzyl alcohol,325,CC(C)C1=CC=C(C=C1)CO,flavorDB,cumin
4-isopropylbenzaldehyde,326,CC(C)C1=CC=C(C=C1)C=O,flavorDB,spicy
4-isopropylbenzaldehyde,326,CC(C)C1=CC=C(C=C1)C=O,flavorDB,acid
4-isopropylbenzaldehyde,326,CC(C)C1=CC=C(C=C1)C=O,flavorDB,herbal
4-isopropylbenzaldehyde,326,CC(C)C1=CC=C(C=C1)C=O,flavorDB,sharp
4-isopropylbenzaldehyde,326,CC(C)C1=CC=C(C=C1)C=O,flavorDB,oily
4-isopropylbenzaldehyde,326,CC(C)C1=CC=C(C=C1)C=O,flavorDB,cumin
4-isopropylbenzaldehyde,326,CC(C)C1=CC=C(C=C1)C=O,flavorDB,green
2-Methoxy-4-vinylphenol,332,COC1=C(C=CC(=C1)C=C)O,flavorDB,curry
2-Methoxy-4-vinylphenol,332,COC1=C(C=CC(=C1)C=C)O,flavorDB,smoky
2-Methoxy-4-vinylphenol,332,COC1=C(C=CC(=C1)C=C)O,flavorDB,clove
2-Methoxy-4-vinylphenol,332,COC1=C(C=CC(=C1)C=C)O,flavorDB,peanut
2-Methoxy-4-vinylphenol,332,COC1=C(C=CC(=C1)C=C)O,flavorDB,spicy
o-cresol,335,CC1=CC=CC=C1O,flavorDB,phenol
o-cresol,335,CC1=CC=CC=C1O,flavorDB,musty
o-cresol,335,CC1=CC=CC=C1O,flavorDB,medicinal
o-cresol,335,CC1=CC=CC=C1O,flavorDB,phenolic
salicylic acid,338,C1=CC=C(C(=C1)C(=O)O)O,flavorDB,nutty
salicylic acid,338,C1=CC=C(C(=C1)C(=O)O)O,flavorDB,faint
salicylic acid,338,C1=CC=C(C(=C1)C(=O)O)O,flavorDB,phenolic
m-cresol,342,CC1=CC(=CC=C1)O,flavorDB,medical
m-cresol,342,CC1=CC(=CC=C1)O,flavorDB,leather
m-cresol,342,CC1=CC(=CC=C1)O,flavorDB,woody
m-cresol,342,CC1=CC(=CC=C1)O,flavorDB,fecal
m-cresol,342,CC1=CC(=CC=C1)O,flavorDB,phenolic
m-cresol,342,CC1=CC(=CC=C1)O,flavorDB,medicinal
m-cresol,342,CC1=CC(=CC=C1)O,flavorDB,plastic
octane,356,CCCCCCCC,flavorDB,alkane
octane,356,CCCCCCCC,flavorDB,gasoline
Gallic acid,370,C1=C(C=C(C(=C1O)O)O)C(=O)O,flavorDB,bitter
octanoic acid,379,CCCCCCCC(=O)O,flavorDB,cheesy
octanoic acid,379,CCCCCCCC(=O)O,flavorDB,sweat
octanoic acid,379,CCCCCCCC(=O)O,flavorDB,vegetable
octanoic acid,379,CCCCCCCC(=O)O,flavorDB,waxy
octanoic acid,379,CCCCCCCC(=O)O,flavorDB,fatty
octanoic acid,379,CCCCCCCC(=O)O,flavorDB,rancid
octanoic acid,379,CCCCCCCC(=O)O,flavorDB,oily
octanoic acid,379,CCCCCCCC(=O)O,flavorDB,cheese
"2,5-Diaminopentanoic acid",389,C(CC(C(=O)O)N)CN,flavorDB,bark
"2,5-Diaminopentanoic acid",389,C(CC(C(=O)O)N)CN,flavorDB,green
"2,5-Diaminopentanoic acid",389,C(CC(C(=O)O)N)CN,flavorDB,mild
Hexitol,453,C(C(C(C(C(CO)O)O)O)O)O,flavorDB,sweet
Octanal,454,CCCCCCCC=O,flavorDB,lemon
Octanal,454,CCCCCCCC=O,flavorDB,citrus
Octanal,454,CCCCCCCC=O,flavorDB,soap
Octanal,454,CCCCCCCC=O,flavorDB,orange peel
Octanal,454,CCCCCCCC=O,flavorDB,fat
Octanal,454,CCCCCCCC=O,flavorDB,waxy
Octanal,454,CCCCCCCC=O,flavorDB,fatty
Octanal,454,CCCCCCCC=O,flavorDB,aldehydic
Octanal,454,CCCCCCCC=O,flavorDB,green
guaiacol,460,COC1=CC=CC=C1O,flavorDB,spice
guaiacol,460,COC1=CC=CC=C1O,flavorDB,vanilla
guaiacol,460,COC1=CC=CC=C1O,flavorDB,smoky
guaiacol,460,COC1=CC=CC=C1O,flavorDB,sweet
guaiacol,460,COC1=CC=CC=C1O,flavorDB,woody
guaiacol,460,COC1=CC=CC=C1O,flavorDB,phenolic
guaiacol,460,COC1=CC=CC=C1O,flavorDB,medicine
guaiacol,460,COC1=CC=CC=C1O,flavorDB,medicinal
guaiacol,460,COC1=CC=CC=C1O,flavorDB,smoke
AC1L19bG,474,CN(C)Op(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,flavorDB,sweet
58337-43-2,508,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COp(=O)(O)Op(=O)(O)Op(=O)(O)Op(=O)(O)O)O)O)N,flavorDB,sweet
propionaldehyde,527,CCC=O,flavorDB,solvent
propionaldehyde,527,CCC=O,flavorDB,alcohol
propionaldehyde,527,CCC=O,flavorDB,whiskey
propionaldehyde,527,CCC=O,flavorDB,wine
propionaldehyde,527,CCC=O,flavorDB,earthy
propionaldehyde,527,CCC=O,flavorDB,cocoa
propionaldehyde,527,CCC=O,flavorDB,pungent
propionaldehyde,527,CCC=O,flavorDB,nutty
Dl-Alanine,602,CC(C(=O)O)N,flavorDB,sweet
Hexonic acid,604,C(C(C(C(C(C(=O)O)O)O)O)O)O,flavorDB,sweet
lactic acid,612,CC(C(=O)O)O,flavorDB,acid
"Adenosine, 5'-phosphoric acid",621,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COp(=O)(O)O)O,flavorDB,sweet
2'-Deoxyadenosine 5'-triphosphate disodium salt(dAtp),622,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COp(=O)(O)Op(=O)(O)Op(=O)(O)O)O,flavorDB,sweet
"2,3-butanedione",650,CC(=O)C(=O)C,flavorDB,butter
"2,3-butanedione",650,CC(=O)C(=O)C,flavorDB,caramel
"2,3-butanedione",650,CC(=O)C(=O)C,flavorDB,oily
"2,3-butanedione",650,CC(=O)C(=O)C,flavorDB,creamy
"2,3-butanedione",650,CC(=O)C(=O)C,flavorDB,sweet
"2,3-butanedione",650,CC(=O)C(=O)C,flavorDB,pungent
"2,3-butanedione",650,CC(=O)C(=O)C,flavorDB,strong
CID 653,653,C1=CC=C2C(=C1)C(=O)C(=C(O2)O)CC3=C(OC4=CC=CC=C4C3=O)O,flavorDB,bitter
dihydrocoumarin,660,C1CC(=O)OC2=CC=CC=C21,flavorDB,coconut
dihydrocoumarin,660,C1CC(=O)OC2=CC=CC=C21,flavorDB,tobacco
dihydrocoumarin,660,C1CC(=O)OC2=CC=CC=C21,flavorDB,coumarin
dihydrocoumarin,660,C1CC(=O)OC2=CC=CC=C21,flavorDB,herbal
dihydrocoumarin,660,C1CC(=O)OC2=CC=CC=C21,flavorDB,creamy
dihydrocoumarin,660,C1CC(=O)OC2=CC=CC=C21,flavorDB,sweet
dihydrocoumarin,660,C1CC(=O)OC2=CC=CC=C21,flavorDB,cinnamon
dihydrocoumarin,660,C1CC(=O)OC2=CC=CC=C21,flavorDB,almond
dihydrocoumarin,660,C1CC(=O)OC2=CC=CC=C21,flavorDB,tonka
"1,3-dihydroxyacetone",670,C(C(=O)CO)O,flavorDB,minty
dimethylamine,674,CNC,flavorDB,ammonia or fish odo
dimethyl sulfoxide,679,CS(=O)C,flavorDB,fatty
dimethyl sulfoxide,679,CS(=O)C,flavorDB,mushroom
dimethyl sulfoxide,679,CS(=O)C,flavorDB,cheesy
dimethyl sulfoxide,679,CS(=O)C,flavorDB,garlic
dimethyl sulfoxide,679,CS(=O)C,flavorDB,bitter
dimethyl sulfoxide,679,CS(=O)C,flavorDB,oily
ethanol,702,CCO,flavorDB,alcoholic
ethanol,702,CCO,flavorDB,ethereal
ethanol,702,CCO,flavorDB,medical
ethanol,702,CCO,flavorDB,sweet
ethanol,702,CCO,flavorDB,strong
glycine,750,C(C(=O)O)N,flavorDB,oily
glycine,750,C(C(=O)O)N,flavorDB,sweet
glycine,750,C(C(=O)O)N,flavorDB,fatty
glycine,750,C(C(=O)O)N,flavorDB,waxy
glycerol,753,C(C(CO)O)O,flavorDB,sweet
hydrogen cyanide,768,C#N,flavorDB,bitter
hydrogen peroxide,784,OO,flavorDB,bitter
hydroquinone,785,C1=CC(=CC=C1O)O,flavorDB,bitter
Dl-Isoleucine,791,CCC(C)C(C(=O)O)N,flavorDB,sweet
indole,798,C1=CC=C2C(=C1)C=CN2,flavorDB,burnt
indole,798,C1=CC=C2C(=C1)C=CN2,flavorDB,jasmine
indole,798,C1=CC=C2C(=C1)C=CN2,flavorDB,mothball
indole,798,C1=CC=C2C(=C1)C=CN2,flavorDB,animal
indole,798,C1=CC=C2C(=C1)C=CN2,flavorDB,fishy
indole,798,C1=CC=C2C(=C1)C=CN2,flavorDB,floral
